ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
3e4719,2024-11-07 06:16:01.699,2024-11-07 06:16:09.945,2024-11-07 06:19:49.151,227.452,Light (less than 7000 kg),-3.5609283447265625,40.49941635131836,-3.56036376953125,40.49948501586914,Y1,False,18L/36R,2024-11-07,6
344648,2024-11-07 06:18:55.043,2024-11-07 06:19:03.323,2024-11-07 06:20:28.188,93.145,Medium 2 (between 34000 kg to 136000 kg),-3.5763092041015625,40.49249267578125,-3.57574462890625,40.492652893066406,Z4,False,18R/36L,2024-11-07,6
346310,2024-11-07 06:22:04.917,2024-11-07 06:22:11.360,2024-11-07 06:22:59.271,54.354,Heavy (larger than 136000 kg),-3.5609130859375,40.499427795410156,-3.5603485107421875,40.499507904052734,Y1,False,18L/36R,2024-11-07,6
347307,2024-11-07 06:22:36.535,2024-11-07 06:22:43.150,2024-11-07 06:26:03.075,206.54,Medium 2 (between 34000 kg to 136000 kg),-3.5609283447265625,40.49941635131836,-3.5603505914861504,40.499492580607786,Y1,False,18L/36R,2024-11-07,6
3474da,2024-11-07 06:23:48.427,2024-11-07 06:24:09.936,2024-11-07 06:27:23.888,215.461,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.499427795410156,-3.56036376953125,40.49948501586914,Y1,False,18L/36R,2024-11-07,6
34538e,2024-11-07 06:27:03.760,2024-11-07 06:27:10.636,2024-11-07 06:28:15.815,72.055,Medium 2 (between 34000 kg to 136000 kg),-3.57611083984375,40.491737365722656,-3.5756440596147017,40.49197439420021,Z2,False,18R/36L,2024-11-07,6
344216,2024-11-07 06:26:31.591,2024-11-07 06:27:21.033,2024-11-07 06:28:55.352,143.761,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49942275225106,-3.5603485107421875,40.499507904052734,Y1,True,18L/36R,2024-11-07,6
4cae4a,2024-11-07 06:27:59.554,2024-11-07 06:28:07.144,2024-11-07 06:29:46.832,107.278,Medium 2 (between 34000 kg to 136000 kg),-3.576143438165838,40.491811461367845,-3.57562255859375,40.49198913574219,Z2,False,18R/36L,2024-11-07,6
344487,2024-11-07 06:27:44.607,2024-11-07 06:28:57.271,2024-11-07 06:30:20.544,155.937,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49942275225106,-3.5603661970658735,40.49948094254833,Y1,True,18L/36R,2024-11-07,6
3445d4,2024-11-07 03:47:51.387,2024-11-07 03:48:17.279,2024-11-07 06:31:26.848,9815.461,Medium 2 (between 34000 kg to 136000 kg),-3.5367889404296875,40.46657180786133,-3.536407470703125,40.46678924560547,KA8,False,18R/36L,2024-11-07,6
3445d4,2024-11-07 06:28:29.068,2024-11-07 06:29:46.318,2024-11-07 06:31:26.848,177.78,Medium 2 (between 34000 kg to 136000 kg),-3.576283888383345,40.49249810687566,-3.57574462890625,40.492652893066406,Z4,True,18R/36L,2024-11-07,6
