ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,lat,lon,holding_point,fecha_despegue,hora_despegue,runway
4ca84d,2024-12-04 16:52:12.404,2024-12-04 16:53:53.107,100.703,Medium 2 (between 34000 kg to 136000 kg),40.49915313720703,-3.57470703125,Z4,2024-12-04,16,18R/36L
4ca84d,2024-12-05 07:09:59.996,2024-12-05 07:11:31.983,91.987,Medium 2 (between 34000 kg to 136000 kg),40.505985260009766,-3.5592193603515625,Y1,2024-12-05,7,18L/36R
4ca84d,2024-12-05 18:50:52.216,2024-12-05 18:53:32.798,160.582,Medium 2 (between 34000 kg to 136000 kg),40.49868392944336,-3.5746917724609375,Z2,2024-12-05,18,18R/36L
a9fa04,2024-12-05 09:44:00.695,2024-12-05 09:46:12.101,131.406,Heavy (larger than 136000 kg),40.49816584182998,-3.5746453025124287,Z2,2024-12-05,9,18R/36L
4403e0,2024-12-03 19:30:51.249,2024-12-03 19:31:39.893,48.644,Medium 1 (between 7000 kg and 34000 kg),40.50474134542174,-3.5592113841663706,Y1,2024-12-03,19,18L/36R
4cada6,2024-12-01 04:59:49.165,2024-12-01 05:00:56.920,67.755,Medium 2 (between 34000 kg to 136000 kg),40.49824730824616,-3.5746453025124287,Z2,2024-12-01,5,18R/36L
4d227a,2024-12-02 15:10:56.849,2024-12-02 15:12:44.912,108.063,Medium 2 (between 34000 kg to 136000 kg),40.505637475999734,-3.5592269897460938,Y1,2024-12-02,15,18L/36R
4d227a,2024-12-03 12:03:44.929,2024-12-03 12:05:20.293,95.364,Medium 2 (between 34000 kg to 136000 kg),40.4989128112793,-3.57464599609375,Z4,2024-12-03,12,18R/36L
4d227a,2024-12-06 06:25:48.669,2024-12-06 06:27:26.928,98.259,Medium 2 (between 34000 kg to 136000 kg),40.49718475341797,-3.5746612548828125,Z2,2024-12-06,6,18R/36L
aa9801,2024-12-05 12:26:39.658,2024-12-05 12:29:33.487,173.829,Heavy (larger than 136000 kg),40.49773406982422,-3.5746307373046875,Z1,2024-12-05,12,18R/36L
440282,2024-12-03 16:01:49.041,2024-12-03 16:04:12.700,143.659,Medium 1 (between 7000 kg and 34000 kg),40.49785161422471,-3.574629696932706,Z4,2024-12-03,16,18R/36L
4ca760,2024-12-01 18:23:13.806,2024-12-01 18:26:38.936,205.13,Medium 2 (between 34000 kg to 136000 kg),40.49758529663086,-3.5745849609375,Z2,2024-12-01,18,18R/36L
4ca760,2024-12-06 15:26:27.819,2024-12-06 15:27:53.568,85.749,Medium 2 (between 34000 kg to 136000 kg),40.50529997227555,-3.5592113841663706,Y1,2024-12-06,15,18L/36R
4ca760,2024-12-07 07:19:48.965,2024-12-07 07:20:59.393,70.428,Medium 2 (between 34000 kg to 136000 kg),40.50550945734573,-3.5592269897460938,Y1,2024-12-07,7,18L/36R
4caa57,2024-12-05 21:41:42.698,2024-12-05 23:19:17.245,5854.547,Medium 2 (between 34000 kg to 136000 kg),40.49807273735434,-3.574614091352983,Z4,2024-12-05,23,18R/36L
4d2367,2024-12-02 19:03:51.854,2024-12-02 19:05:19.408,87.554,Medium 1 (between 7000 kg and 34000 kg),40.498077392578125,-3.57464599609375,Z2,2024-12-02,19,18R/36L
4d2367,2024-12-03 10:38:21.813,2024-12-03 10:39:16.144,54.331,Medium 1 (between 7000 kg and 34000 kg),40.49893569946289,-3.57464599609375,Z4,2024-12-03,10,18R/36L
4d2367,2024-12-05 18:43:34.273,2024-12-05 18:45:47.159,132.886,Medium 1 (between 7000 kg and 34000 kg),40.49919891357422,-3.5746612548828125,Z4,2024-12-05,18,18R/36L
4d2367,2024-12-06 10:26:59.714,2024-12-06 10:28:52.111,112.397,Medium 1 (between 7000 kg and 34000 kg),40.49882921121888,-3.5746453025124287,Z4,2024-12-06,10,18R/36L
347501,2024-12-01 10:45:08.724,2024-12-01 10:46:51.171,102.447,Medium 2 (between 34000 kg to 136000 kg),40.498043060302734,-3.57464599609375,Z4,2024-12-01,10,18R/36L
347501,2024-12-02 15:16:59.252,2024-12-02 15:18:19.372,80.12,Medium 2 (between 34000 kg to 136000 kg),40.50506721108646,-3.5592113841663706,Y1,2024-12-02,15,18L/36R
347501,2024-12-03 15:22:45.840,2024-12-03 15:24:40.091,114.251,Medium 2 (between 34000 kg to 136000 kg),40.50582504272461,-3.5592193603515625,Y2,2024-12-03,15,18L/36R
347501,2024-12-04 03:39:19.232,2024-12-04 08:01:24.951,15725.719,Medium 2 (between 34000 kg to 136000 kg),40.497596740722656,-3.57464599609375,KA8,2024-12-04,8,18R/36L
347501,2024-12-05 15:11:33.998,2024-12-05 15:12:44.728,70.73,Medium 2 (between 34000 kg to 136000 kg),40.5058479309082,-3.5592041015625,Y1,2024-12-05,15,18L/36R
347501,2024-12-06 20:43:01.835,2024-12-06 20:44:34.678,92.843,Medium 2 (between 34000 kg to 136000 kg),40.49794006347656,-3.57464599609375,Z4,2024-12-06,20,18R/36L
34750f,2024-12-01 09:44:48.650,2024-12-01 09:45:55.682,67.032,Medium 2 (between 34000 kg to 136000 kg),40.4979796328787,-3.574660908092152,Z2,2024-12-01,9,18R/36L
34750f,2024-12-02 14:19:11.616,2024-12-02 14:22:32.108,200.492,Medium 2 (between 34000 kg to 136000 kg),40.49720764160156,-3.5746612548828125,Z2,2024-12-02,14,18R/36L
34750f,2024-12-04 05:49:41.301,2024-12-04 05:51:44.912,123.611,Medium 2 (between 34000 kg to 136000 kg),40.499131800764694,-3.574660908092152,Z2,2024-12-04,5,18R/36L
34750f,2024-12-04 09:49:51.174,2024-12-04 09:51:51.826,120.652,Medium 2 (between 34000 kg to 136000 kg),40.49719988289526,-3.5746453025124287,Z2,2024-12-04,9,18R/36L
34750f,2024-12-04 14:31:31.396,2024-12-04 14:33:30.954,119.558,Medium 2 (between 34000 kg to 136000 kg),40.49765396118164,-3.57464599609375,Z2,2024-12-04,14,18R/36L
34750f,2024-12-04 18:24:36.456,2024-12-04 18:27:05.906,149.45,Medium 2 (between 34000 kg to 136000 kg),40.49780506198689,-3.5746453025124287,Z2,2024-12-04,18,18R/36L
34750f,2024-12-05 18:53:11.779,2024-12-05 18:55:15.437,123.658,Medium 2 (between 34000 kg to 136000 kg),40.49820327758789,-3.5746612548828125,Z2,2024-12-05,18,18R/36L
34750f,2024-12-06 10:00:02.005,2024-12-06 10:01:43.399,101.394,Medium 2 (between 34000 kg to 136000 kg),40.49795635675979,-3.574660908092152,Z2,2024-12-06,10,18R/36L
34750f,2024-12-06 14:40:23.836,2024-12-06 14:42:11.969,108.133,Medium 2 (between 34000 kg to 136000 kg),40.50619125366211,-3.5592193603515625,Y1,2024-12-06,14,18L/36R
34750f,2024-12-07 11:43:37.028,2024-12-07 11:46:19.487,162.459,Medium 2 (between 34000 kg to 136000 kg),40.4981575012207,-3.57464599609375,Z2,2024-12-07,11,18R/36L
06a30c,2024-12-06 08:33:37.590,2024-12-06 08:35:01.259,83.669,Heavy (larger than 136000 kg),40.505287170410156,-3.5592193603515625,Y2,2024-12-06,8,18L/36R
0a0074,2024-12-01 13:06:41.427,2024-12-01 13:07:26.357,44.93,Medium 2 (between 34000 kg to 136000 kg),40.50668490135063,-3.5592113841663706,Y2,2024-12-01,13,18L/36R
347386,2024-12-02 08:13:53.883,2024-12-02 08:14:50.417,56.534,Heavy (larger than 136000 kg),40.49832877466234,-3.5746453025124287,Z3,2024-12-02,8,18R/36L
347386,2024-12-07 16:06:33.366,2024-12-07 16:08:02.487,89.121,Heavy (larger than 136000 kg),40.4974442821438,-3.5746453025124287,Z3,2024-12-07,16,18R/36L
347453,2024-12-02 15:54:43.653,2024-12-02 15:57:14.310,150.657,Medium 2 (between 34000 kg to 136000 kg),40.497537386619435,-3.5746453025124287,Z3,2024-12-02,15,18R/36L
