icao,hour,day,on_ground_min,on_ground_max,ground,flying
392AEF,12,2,0.0,0.0,1.0,0.0
4D245F,12,2,0.0,0.0,1.0,0.0
34659A,13,2,0.0,0.0,1.0,0.0
392AF0,13,2,0.0,0.0,1.0,0.0
3444DA,13,2,0.0,0.0,1.0,0.0
346555,13,2,0.0,0.0,1.0,0.0
3C4906,13,2,0.0,0.0,1.0,0.0
4CAFC2,13,2,0.0,0.0,1.0,0.0
440D6E,13,2,0.0,0.0,1.0,0.0
4080A4,13,2,0.0,0.0,1.0,0.0
345250,13,2,0.0,0.0,1.0,0.0
4CA264,13,2,0.0,0.0,1.0,0.0
44A0C8,13,2,0.0,0.0,1.0,0.0
34554F,13,2,0.0,0.0,1.0,0.0
406540,13,2,0.0,0.0,1.0,0.0
34751A,13,2,0.0,0.0,1.0,0.0
347454,13,2,0.0,0.0,1.0,0.0
4400C8,14,2,0.0,0.0,1.0,0.0
3C496D,14,2,0.0,0.0,1.0,0.0
4910BA,14,2,0.0,0.0,1.0,0.0
424C7C,14,2,0.0,0.0,1.0,0.0
484CB4,14,2,0.0,0.0,1.0,0.0
44D076,14,2,0.0,0.0,1.0,0.0
ADFD72,14,2,0.0,0.0,1.0,0.0
495213,15,2,0.0,0.0,1.0,0.0
4CAC54,15,2,0.0,0.0,1.0,0.0
344417,15,2,0.0,0.0,1.0,0.0
408124,15,2,0.0,0.0,1.0,0.0
406B59,15,2,0.0,0.0,1.0,0.0
503EB3,15,2,0.0,0.0,1.0,0.0
4CA814,15,2,0.0,0.0,1.0,0.0
3444CC,0,1,0.0,0.0,1.0,0.0
347604,0,1,0.0,1.0,1.0,1.0
020145,1,1,0.0,0.0,1.0,0.0
342352,2,1,1.0,1.0,0.0,1.0
342352,3,1,1.0,1.0,0.0,1.0
39D2AE,3,1,0.0,0.0,1.0,0.0
3C4A02,3,1,0.0,0.0,1.0,0.0
3455C1,4,1,0.0,0.0,1.0,0.0
E06588,4,1,0.0,0.0,1.0,0.0
495215,5,1,0.0,0.0,1.0,0.0
34714D,6,1,0.0,0.0,1.0,0.0
495217,6,1,0.0,0.0,1.0,0.0
348212,6,1,0.0,0.0,1.0,0.0
346458,6,1,0.0,0.0,1.0,0.0
345215,6,1,0.0,0.0,1.0,0.0
392AF0,6,1,0.0,0.0,1.0,0.0
