ts_kafka,velocity,lat,lon,icao,ground,direccion
1733014808473,,,,34234b,,
1733015109382,,,,34234b,,
1733015409543,,,,34234b,,
1733015709484,,,,34234b,,
1733016009769,,,,34234b,,
1733016310598,,,,34234b,,
1733016610652,,,,34234b,,
1733016911487,,,,34234b,,
1733017211543,,,,34234b,,
1733017512421,,,,34234b,,
1733017812753,,,,34234b,,
1733018113755,,,,34234b,,
1733018414599,,,,34234b,,
1733018715481,,,,34234b,,
1733019016393,,,,34234b,,
1733019316632,,,,34234b,,
1733019616719,,,,34234b,,
1733019917416,,,,34234b,,
1733020217780,,,,34234b,,
1733020518473,,,,34234b,,
1733020818435,,,,34234b,,
1733021119445,,,,34234b,,
1733021419834,,,,34234b,,
1733021719868,,,,34234b,,
1733022020593,,,,34234b,,
1733022321483,,,,34234b,,
1733022622487,,,,34234b,,
1733022922577,,,,34234b,,
1733023224629,,,,34234b,,
1733023526464,,,,34234b,,
1733023826840,,,,34234b,,
1733024127365,,,,34234b,,
1733024427624,,,,34234b,,
1733024727562,,,,34234b,,
1733025027431,,,,34234b,,
1733025328623,,,,34234b,,
1733025629419,,,,34234b,,
1733025929688,,,,34234b,,
1733026229509,,,,34234b,,
1733026530480,,,,34234b,,
1733026830673,,,,34234b,,
1733027130665,,,,34234b,,
1733027431659,,,,34234b,,
1733027731617,,,,34234b,,
1733028031494,,,,34234b,,
1733028332727,,,,34234b,,
1733028632581,,,,34234b,,
1733028932489,,,,34234b,,
1733029233896,,,,34234b,,
1733029534420,,,,34234b,,
1733029834746,,,,34234b,,
1733030135561,,,,34234b,,
1733030436423,,,,34234b,,
1733030737549,,,,34234b,,
1733031037491,,,,34234b,,
1733031337432,,,,34234b,,
1733031638548,,,,34234b,,
1733031938670,,,,34234b,,
1733032238635,,,,34234b,,
1733032538497,,,,34234b,,
1733032840465,,,,34234b,,
1733033140603,,,,34234b,,
1733033441528,,,,34234b,,
1733033742522,,,,34234b,,
1733034043446,,,,34234b,,
1733034344565,,,,34234b,,
1733034645587,,,,34234b,,
1733034946503,,,,34234b,,
1733035247452,,,,34234b,,
1733035548475,,,,34234b,,
1733035849495,,,,34234b,,
1733036149510,,,,34234b,,
1733036450569,,,,34234b,,
1733036749476,,,,34234b,,
1733037050443,,,,34234b,,
1733037351459,,,,34234b,,
1733037599469,,,,34234b,,
1733011498844,,,,342351,,
1733011800567,,,,342351,,
1733012100573,,,,342351,,
1733012407641,,,,342351,,
1733012709929,,,,342351,,
1733013007015,,,,342351,,
1733013279731,,,,342351,,
1733013598775,,,,342351,,
1733013946563,,,,342351,,
1733014257672,,,,342351,,
1733014554850,,,,342351,,
1733014863564,,,,342351,,
1733015161879,,,,342351,,
1733015467950,,,,342351,,
1733015769951,,,,342351,,
1733015871974,,,,342351,,
1733016931591,,,,342351,,
1733017900646,,,,342351,,
1733018255605,,,,342351,,
1733018570657,,,,342351,,
1733018880596,,,,342351,,
1733019202454,,,,342351,,
1733019522512,,,,342351,,
1733019810918,,,,342351,,
1733020153890,,,,342351,,
1733020479004,,,,342351,,
1733020788997,,,,342351,,
1733021080984,,,,342351,,
1733021271648,,,,342351,,
1733021794934,,,,342351,,
1733022243571,,,,342351,,
1733022571708,,,,342351,,
1733022811868,,,,342351,,
1733023659908,,,,342351,,
1733023960904,,,,342351,,
1733024276844,,,,342351,,
1733024575790,,,,342351,,
1733024863737,,,,342351,,
1733025188734,,,,342351,,
1733025227835,,,,342351,,
1733026732604,,,,342351,,
1733027078855,,,,342351,,
1733027380671,,,,342351,,
1733027680842,,,,342351,,
1733027981603,,,,342351,,
1733028284721,,,,342351,,
1733028585754,,,,342351,,
1733028886818,,,,342351,,
1733029127875,,,,342351,,
1733029456667,,,,342351,,
1733030010867,,,,342351,,
1733030582979,,,,342351,,
1733030875761,,,,342351,,
1733031217851,,,,342351,,
1733031478782,,,,342351,,
1733031907687,,,,342351,,
1733032213751,,,,342351,,
1733032513810,,,,342351,,
1733032850668,,,,342351,,
1733033151724,,,,342351,,
1733033452656,,,,342351,,
1733033752699,,,,342351,,
1733034053762,,,,342351,,
1733034353806,,,,342351,,
1733034654833,,,,342351,,
1733034938703,,,,342351,,
1733035234770,,,,342351,,
1733035406722,,,,342351,,
1733036040763,,,,342351,,
1733036585736,,,,342351,,
1733036922817,,,,342351,,
1733037266745,,,,342351,,
1733011500062,,,,342352,1.0,
1733011800159,,,,342352,1.0,
1733012100169,,,,342352,1.0,
1733012400453,,,,342352,1.0,
1733012701320,,,,342352,1.0,
1733013001551,,,,342352,1.0,
1733013301995,,,,342352,1.0,
1733013602530,,,,342352,1.0,
1733013903297,,,,342352,1.0,
1733014203335,,,,342352,1.0,
1733014503341,,,,342352,1.0,
1733014804115,,,,342352,1.0,
1733015104312,,,,342352,1.0,
1733015406199,,,,342352,1.0,
1733015706452,,,,342352,1.0,
1733016007222,,,,342352,1.0,
1733016307563,,,,342352,1.0,
1733016608128,,,,342352,1.0,
1733016907950,,,,342352,1.0,
1733017208508,,,,342352,1.0,
1733017510401,,,,342352,1.0,
1733017811238,,,,342352,1.0,
1733018112240,,,,342352,1.0,
1733018413085,,,,342352,1.0,
1733018710529,,,,342352,1.0,
1733019014876,,,,342352,1.0,
1733019314609,,,,342352,1.0,
1733019615205,,,,342352,1.0,
1733019915892,,,,342352,1.0,
1733020216772,,,,342352,1.0,
1733020517154,,,,342352,1.0,
1733020817925,,,,342352,1.0,
1733021118415,,,,342352,1.0,
1733021418921,,,,342352,1.0,
1733021719360,,,,342352,1.0,
1733022020286,,,,342352,1.0,
1733022321282,,,,342352,1.0,
1733022623393,,,,342352,1.0,
1733022923992,,,,342352,1.0,
1733023225137,,,,342352,1.0,
1733023526157,,,,342352,1.0,
1733023828367,,,,342352,1.0,
1733024128380,,,,342352,1.0,
1733024429139,,,,342352,1.0,
1733024729795,,,,342352,1.0,
1733025029550,,,,342352,1.0,
1733025330871,,,,342352,1.0,
1733025631548,,,,342352,1.0,
1733025933942,,,,342352,1.0,
1733026234169,,,,342352,1.0,
1733026534331,,,,342352,1.0,
1733026835142,,,,342352,1.0,
1733027135940,,,,342352,1.0,
1733027436425,,,,342352,1.0,
1733027736886,,,,342352,1.0,
1733028037254,,,,342352,1.0,
1733028337695,,,,342352,1.0,
1733028637850,,,,342352,1.0,
1733028939675,,,,342352,1.0,
1733029241083,,,,342352,1.0,
1733029542922,,,,342352,1.0,
1733029842745,,,,342352,1.0,
1733030143766,,,,342352,1.0,
1733030444024,,,,342352,1.0,
1733030744854,,,,342352,1.0,
1733031045624,,,,342352,1.0,
1733031345772,,,,342352,1.0,
1733031646586,,,,342352,1.0,
1733031947131,,,,342352,1.0,
1733032247915,,,,342352,1.0,
1733032548712,,,,342352,1.0,
1733032849540,,,,342352,1.0,
1733033149886,,,,342352,1.0,
1733033449896,,,,342352,1.0,
1733033750004,,,,342352,1.0,
1733034050105,,,,342352,1.0,
1733034350518,,,,342352,1.0,
1733034650518,,,,342352,1.0,
1733034950727,,,,342352,1.0,
1733035251056,,,,342352,1.0,
1733035551672,,,,342352,1.0,
1733035852793,,,,342352,1.0,
1733036153526,,,,342352,1.0,
1733036454009,,,,342352,1.0,
1733036754010,,,,342352,1.0,
1733037053724,,,,342352,1.0,
1733037354958,,,,342352,1.0,
1733037599365,,,,342352,1.0,
1733011500060,,,,342353,1.0,
1733011800365,,,,342353,1.0,
1733012101082,,,,342353,1.0,
1733012402073,,,,342353,1.0,
